random test,AES_ECB_IDEA_ECB_kl,AES_ECB_RSA_kl,AES_ECB_TRIPLE_DES_ECB_kl,AES_ECB_SM2_kl,AES_ECB_SM4_ECB_kl,IDEA_ECB_RSA_kl,IDEA_ECB_TRIPLE_DES_ECB_kl,IDEA_ECB_SM2_kl,IDEA_ECB_SM4_ECB_kl,RSA_TRIPLE_DES_ECB_kl,RSA_SM2_kl,RSA_SM4_ECB_kl,TRIPLE_DES_ECB_SM2_kl,TRIPLE_DES_ECB_SM4_ECB_kl,SM2_SM4_ECB_kl,kl_mean
,,,,,,,,,,,,,,,,
binary matrix rank test,0.210817939,0.266719076,0.221037675,0.375256672,0.356520876,0.296915114,0.169116572,0.343577769,0.278832174,0.182902148,0.24638283,0.36158522,0.247769417,0.355904702,0.386748973,0.286672477
approximate entropy test,0.378786639,0.250952126,0.209288804,0.417970686,0.275773316,0.230172738,0.171965388,0.365342011,0.309112357,0.178129838,0.360672272,0.280070269,0.324029112,0.272219203,0.262681721,0.285811099
frequency within block test,0.230673883,0.232776576,0.221744851,0.241972623,0.239832795,0.269389624,0.207293744,0.345857869,0.244155014,0.367985565,0.286397614,0.24653226,0.371499829,0.250094221,0.264062474,0.268017929
run test,0.406098813,0.245000603,0.221996197,0.385991807,0.1937526,0.239167195,0.223729872,0.38214136,0.252928155,0.213019099,0.233002527,0.209937364,0.2430937,0.269970271,0.252473397,0.264820197
linear complexity test,0.226780535,0.242142448,0.329506408,0.19678818,0.269754882,0.225039839,0.258429409,0.159018241,0.277608433,0.28827906,0.241798858,0.325821702,0.232167306,0.287194587,0.301791819,0.25747478
overlapping template matching test,0.314519788,0.419652091,0.248742438,0.207779766,0.185489863,0.388882277,0.29430521,0.231515695,0.209102312,0.259462811,0.17716494,0.226072879,0.208415796,0.218980941,0.225079917,0.254344448
longest run ones in a block,0.259319899,0.418330197,0.218740465,0.168888672,0.191153663,0.512596997,0.234470245,0.24078818,0.240354609,0.220159487,0.211449781,0.272599846,0.186488499,0.21509121,0.184747867,0.251678641
frequency test,0.189162024,0.192813176,0.165713392,0.264128459,0.180198656,0.24375046,0.191598202,0.303972507,0.266952206,0.139905417,0.269420946,0.258743182,0.235622143,0.180457944,0.264601801,0.223136034
dft test,0.153612848,0.205954222,0.138263966,0.149689621,0.129170646,0.213319923,0.163766652,0.131985432,0.188822857,0.147499707,0.186563734,0.170090146,0.113829677,0.129112723,0.162514777,0.158946462
non-overlapping template matching test,0.144372338,0.14242062,0.100273475,0.136594472,0.13631304,0.099521631,0.114705118,0.131846505,0.137447984,0.134409531,0.130444681,0.088010324,0.121689479,0.115820517,0.133850751,0.124514698
cumulative sums test,0.11015878,0.143128555,0.129672292,0.119764244,0.14641806,0.121445339,0.110553615,0.141161926,0.096889202,0.092195692,0.11645899,0.092178498,0.131926622,0.087526747,0.138523124,0.118533446
serial test,0.111874432,0.094044609,0.112331516,0.109028336,0.098992633,0.097654802,0.097616798,0.120163896,0.098204542,0.094741232,0.110387504,0.085453601,0.133943933,0.105349116,0.112132691,0.105461309
random excursion test,0.018269936,0.023458626,0.022212261,0.028631855,0.021879964,0.022152124,0.016459377,0.023245265,0.025952536,0.021798987,0.02951952,0.029199474,0.026513529,0.030099243,0.024139215,0.024235461
random excursion variant,0.011792898,0.012881458,0.014375012,0.010931857,0.011593607,0.011675251,0.015547826,0.00975899,0.00955195,0.014955521,0.011763648,0.010973928,0.015105171,0.014747569,0.010037317,0.012379467
maurer's universal,0.008601619,0.003933563,0.005753058,0.00339255,0,0.001012387,0.000320096,0.001337094,0.009727486,0.000186834,2.17E-05,0.004288067,0.000341497,0.0063753,0.003677215,0.003264565
