		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  256  237  232  248  276  276  282  272 14.048331 0.080514 SUCCESS   0
000000011  264  235  247  243  271  269  264  257  6.320105 0.611423 SUCCESS   1
000000101  243  225  247  249  259  250  252  243  3.380242 0.908283 SUCCESS   2
000000111  246  257  230  252  257  233  260  241  4.084630 0.849408 SUCCESS   3
000001001  245  251  254  248  243  230  226  267  5.622182 0.689469 SUCCESS   4
000001011  252  229  241  250  264  281  261  233  8.660954 0.371700 SUCCESS   5
000001101  242  231  276  245  267  255  243  275  8.750812 0.363751 SUCCESS   6
000001111  249  281  230  260  256  227  252  260  8.818691 0.357821 SUCCESS   7
000010001  236  269  254  272  271  268  227  235 10.662020 0.221595 SUCCESS   8
000010011  238  241  228  253  249  235  228  253  5.935717 0.654432 SUCCESS   9
000010101  267  222  240  242  243  266  286  236 12.553059 0.128181 SUCCESS  10
000010111  239  255  265  242  245  257  245  241  2.543071 0.959692 SUCCESS  11
000011001  231  235  260  247  256  263  274  249  6.112848 0.634593 SUCCESS  12
000011011  253  247  257  250  254  239  244  269  2.488251 0.962277 SUCCESS  13
000011101  262  233  225  226  280  253  284  249 15.309842 0.053393 SUCCESS  14
000011111  248  269  218  250  261  233  266  249  8.505673 0.385694 SUCCESS  15
000100011  260  281  250  256  269  246  223  247  9.156016 0.329306 SUCCESS  16
000100101  245  263  244  259  266  241  254  263  3.450966 0.902962 SUCCESS  17
000100111  235  243  234  250  247  237  229  228  6.743798 0.564510 SUCCESS  18
000101001  242  272  258  280  250  254  239  270  8.485891 0.387500 SUCCESS  19
000101011  261  263  230  252  242  251  256  236  4.098982 0.848084 SUCCESS  20
000101101  259  228  251  244  243  256  242  236  3.912800 0.864904 SUCCESS  21
000101111  239  280  253  244  270  245  238  234  7.824170 0.450832 SUCCESS  22
000110011  256  232  290  235  241  259  234  254 10.835919 0.211171 SUCCESS  23
000110101  268  247  243  230  249  263  272  265  6.876970 0.549963 SUCCESS  24
000110111  209  256  251  250  253  244  253  257  7.530675 0.480602 SUCCESS  25
000111001  313  241  251  263  260  245  274  231 21.863701 0.005175 FAILURE  26
000111011  265  244  238  235  262  246  286  262  9.231265 0.323164 SUCCESS  27
000111101  215  286  226  259  240  251  198  245 24.847006 0.001650 FAILURE  28
000111111  224  267  260  256  257  245  276  261  8.164857 0.417534 SUCCESS  29
001000011  224  244  230  240  281  236  261  267 11.495572 0.175169 SUCCESS  30
001000101  223  264  246  248  252  257  247  236  4.973778 0.760375 SUCCESS  31
001000111  282  255  260  259  263  253  227  260  8.435467 0.392128 SUCCESS  32
001001011  254  247  243  240  242  285  216  268 12.175653 0.143537 SUCCESS  33
001001101  233  238  268  246  281  263  217  245 12.481301 0.130987 SUCCESS  34
001001111  231  248  243  262  258  228  236  243  5.583006 0.693827 SUCCESS  35
001010011  265  275  278  292  241  248  220  265 19.075887 0.014459 SUCCESS  36
001010101  209  257  247  272  251  247  259  259  9.909147 0.271461 SUCCESS  37
001010111  236  276  236  228  248  261  256  264  7.898901 0.443408 SUCCESS  38
001011011  257  237  245  249  258  244  247  267  2.656719 0.954022 SUCCESS  39
001011101  262  271  255  258  242  268  260  265  5.749018 0.675322 SUCCESS  40
001011111  269  279  276  257  233  262  229  240 12.008347 0.150832 SUCCESS  41
001100101  231  247  263  232  257  245  240  219  8.257947 0.408687 SUCCESS  42
001100111  257  236  280  248  231  238  248  255  6.962303 0.540705 SUCCESS  43
001101011  248  282  248  215  252  269  271  260 13.092339 0.108712 SUCCESS  44
001101101  262  251  261  258  265  272  261  248  4.825996 0.776002 SUCCESS  45
001101111  224  249  232  265  247  252  224  247  7.952558 0.438118 SUCCESS  46
001110101  257  233  239  223  239  235  258  275  9.192089 0.326352 SUCCESS  47
001110111  281  251  247  251  232  241  303  276 20.126521 0.009868 FAILURE  48
001111011  207  258  221  257  233  252  221  241 16.609754 0.034439 SUCCESS  49
001111101  261  260  210  257  236  265  253  258  9.780760 0.280752 SUCCESS  50
001111111  243  267  262  242  248  234  253  274  5.758069 0.674311 SUCCESS  51
010000011  282  246  224  262  266  253  247  253  8.870667 0.353324 SUCCESS  52
010000111  240  230  218  247  254  251  266  264  8.279152 0.406688 SUCCESS  53
010001011  254  250  250  235  277  256  259  228  6.500986 0.591298 SUCCESS  54
010001111  270  278  240  252  247  250  244  245  5.621923 0.689498 SUCCESS  55
010010011  259  252  255  259  257  245  250  242  1.363661 0.994747 SUCCESS  56
010010111  285  250  261  238  240  261  223  254 10.162949 0.253775 SUCCESS  57
010011011  227  261  262  238  263  251  217  234 10.142909 0.255139 SUCCESS  58
010011111  246  263  253  265  236  252  238  269  4.653261 0.793911 SUCCESS  59
010100011  239  261  242  260  253  214  260  243  7.691903 0.464130 SUCCESS  60
010100111  255  269  252  278  240  240  238  273  8.475030 0.388494 SUCCESS  61
010101011  221  250  237  259  256  260  238  255  5.772679 0.672678 SUCCESS  62
010101111  249  249  263  238  231  273  239  258  5.750958 0.675105 SUCCESS  63
010110011  221  240  265  232  252  244  279  252  9.824331 0.277573 SUCCESS  64
010110111  266  260  235  270  268  258  274  258  8.323499 0.402525 SUCCESS  65
010111011  230  247  232  280  238  250  278  255 10.700549 0.219250 SUCCESS  66
010111111  252  264  281  250  239  270  220  248 10.702360 0.219141 SUCCESS  67
011000111  246  229  219  253  254  268  269  260  9.217818 0.324256 SUCCESS  68
011001111  245  248  262  244  235  235  240  261  3.637018 0.888299 SUCCESS  69
011010111  241  271  253  243  245  248  260  257  3.138465 0.925370 SUCCESS  70
011011111  255  256  235  263  239  235  251  258  3.581939 0.892738 SUCCESS  71
011101111  252  250  230  258  230  238  259  253  4.555515 0.803854 SUCCESS  72
011111111  248  252  268  244  236  243  250  244  2.683224 0.952639 SUCCESS  73
100000000  256  237  232  248  276  276  282  272 14.048331 0.080514 SUCCESS  74
100010000  254  256  253  257  232  246  258  232  3.465576 0.901845 SUCCESS  75
100100000  254  236  220  270  245  238  244  256  7.248040 0.510123 SUCCESS  76
100101000  258  250  233  269  279  226  254  256  9.035127 0.339341 SUCCESS  77
100110000  268  240  247  250  253  246  277  232  6.253261 0.618886 SUCCESS  78
100111000  250  250  240  261  266  238  224  236  6.172582 0.627907 SUCCESS  79
101000000  251  241  237  252  277  248  244  262  4.834012 0.775161 SUCCESS  80
101000100  245  260  258  280  246  261  262  232  7.014408 0.535079 SUCCESS  81
101001000  253  253  241  257  297  241  240  252 10.521608 0.230306 SUCCESS  82
101001100  266  234  256  260  264  239  238  242  4.853018 0.773164 SUCCESS  83
101010000  247  252  234  252  255  237  253  253  2.004436 0.980876 SUCCESS  84
101010100  247  247  240  258  249  212  288  279 16.188000 0.039767 SUCCESS  85
101011000  232  264  236  240  264  271  269  272  9.513899 0.300813 SUCCESS  86
101011100  226  279  257  249  251  260  244  258  6.904251 0.546998 SUCCESS  87
101100000  235  247  257  255  257  258  288  280 11.449802 0.177492 SUCCESS  88
101100100  271  221  248  224  235  252  235  248 10.003919 0.264751 SUCCESS  89
101101000  238  249  247  227  255  263  243  235  4.756566 0.783250 SUCCESS  90
101101100  258  248  251  241  247  263  264  249  2.174844 0.975177 SUCCESS  91
101110000  242  237  232  269  259  243  251  265  5.270764 0.728283 SUCCESS  92
101110100  269  271  262  215  273  232  240  255 13.030796 0.110794 SUCCESS  93
101111000  238  261  262  249  255  271  223  242  6.905414 0.546871 SUCCESS  94
101111100  246  284  225  239  238  260  256  252  9.110505 0.333060 SUCCESS  95
