		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  253  266  262  262  271  250  246  238  4.780743 0.780733 SUCCESS   0
000000011  249  264  256  253  278  244  236  241  5.542667 0.698308 SUCCESS   1
000000101  247  239  259  281  234  259  254  223  9.325131 0.315615 SUCCESS   2
000000111  232  263  262  276  257  260  203  277 18.208331 0.019718 SUCCESS   3
000001001  249  259  252  255  231  247  253  263  2.727701 0.950267 SUCCESS   4
000001011  232  245  239  282  242  261  250  247  6.983636 0.538399 SUCCESS   5
000001101  259  238  245  237  249  251  241  238  2.667321 0.953472 SUCCESS   6
000001111  251  257  259  269  242  268  246  230  5.364889 0.717959 SUCCESS   7
000010001  259  227  259  260  247  240  235  259  4.987871 0.758872 SUCCESS   8
000010011  260  267  241  259  252  238  251  261  3.400541 0.906770 SUCCESS   9
000010101  271  242  274  247  259  250  237  274  7.934198 0.439924 SUCCESS  10
000010111  230  266  234  254  254  250  257  265  5.040622 0.753226 SUCCESS  11
000011001  217  294  255  273  249  250  258  238 15.676776 0.047247 SUCCESS  12
000011011  274  251  255  243  254  259  258  250  3.365244 0.909393 SUCCESS  13
000011101  253  242  246  260  240  244  238  281  5.916970 0.656532 SUCCESS  14
000011111  267  252  260  253  246  257  236  215  7.809560 0.452291 SUCCESS  15
000100011  246  230  248  256  248  277  252  266  5.998036 0.647452 SUCCESS  16
000100101  272  246  246  257  232  266  242  234  6.060614 0.640442 SUCCESS  17
000100111  237  243  280  259  244  265  283  252 10.570869 0.227219 SUCCESS  18
000101001  261  221  258  257  240  225  267  218 12.872800 0.116302 SUCCESS  19
000101011  258  259  249  269  248  272  222  273  9.555531 0.297617 SUCCESS  20
000101101  262  231  249  253  239  232  247  256  4.154061 0.842963 SUCCESS  21
000101111  218  255  227  233  252  234  273  273 13.173018 0.106034 SUCCESS  22
000110011  239  278  247  255  255  249  249  236  4.808671 0.777816 SUCCESS  23
000110101  255  234  254  226  246  243  232  248  5.229907 0.732744 SUCCESS  24
000110111  242  250  237  270  272  291  261  266 13.147677 0.106869 SUCCESS  25
000111001  262  286  260  257  265  246  282  274 14.208267 0.076496 SUCCESS  26
000111011  271  219  244  271  246  234  243  258  9.365212 0.312430 SUCCESS  27
000111101  246  259  233  242  241  257  234  214  8.811321 0.358462 SUCCESS  28
000111111  263  228  253  225  240  244  267  258  7.345139 0.499893 SUCCESS  29
001000011  259  278  270  207  252  258  275  236 16.566440 0.034954 SUCCESS  30
001000101  237  252  251  255  277  231  250  255  5.437552 0.709949 SUCCESS  31
001000111  244  220  246  243  224  256  252  236  7.904590 0.442845 SUCCESS  32
001001011  277  266  259  265  233  259  250  235  7.808784 0.452368 SUCCESS  33
001001101  234  279  236  263  260  231  240  272 10.374343 0.239728 SUCCESS  34
001001111  210  244  282  273  231  259  256  269 16.668453 0.033753 SUCCESS  35
001010011  275  225  233  231  235  240  268  222 13.780695 0.087664 SUCCESS  36
001010101  246  238  258  248  227  233  239  277  7.840073 0.449246 SUCCESS  37
001010111  277  275  240  256  232  280  249  266 12.301842 0.138236 SUCCESS  38
001011011  264  230  222  232  251  228  240  253  9.497349 0.302090 SUCCESS  39
001011101  255  279  242  278  258  252  235  256  8.459774 0.389893 SUCCESS  40
001011111  230  244  273  204  255  250  256  266 14.055960 0.080318 SUCCESS  41
001100101  247  266  251  275  259  257  245  259  4.670457 0.792147 SUCCESS  42
001100111  249  231  245  237  250  250  264  223  6.120865 0.633695 SUCCESS  43
001101011  254  243  243  238  253  231  232  249  3.935556 0.862891 SUCCESS  44
001101101  245  238  251  241  278  230  226  248  8.331257 0.401799 SUCCESS  45
001101111  232  254  243  261  248  267  243  249  3.528800 0.896943 SUCCESS  46
001110101  245  247  271  248  269  271  294  257 13.525859 0.094992 SUCCESS  47
001110111  269  239  253  278  234  244  271  224 11.106271 0.195750 SUCCESS  48
001111011  242  228  234  268  252  246  262  214 10.700549 0.219250 SUCCESS  49
001111101  265  238  288  236  246  247  254  261  8.986772 0.343413 SUCCESS  50
001111111  270  244  251  229  238  260  249  256  4.794836 0.779262 SUCCESS  51
010000011  264  241  245  280  241  262  228  243  8.109778 0.422821 SUCCESS  52
010000111  270  282  263  225  251  269  273  246 12.939515 0.113948 SUCCESS  53
010001011  251  232  238  266  278  224  231  261 11.031927 0.199897 SUCCESS  54
010001111  258  225  219  208  223  251  271  253 18.995208 0.014885 SUCCESS  55
010010011  246  260  253  272  249  235  254  237  4.220905 0.836663 SUCCESS  56
010010111  244  254  264  262  243  246  248  242  2.172517 0.975261 SUCCESS  57
010011011  233  284  235  237  263  235  248  244  9.401543 0.309562 SUCCESS  58
010011111  250  256  251  235  249  262  262  282  6.522448 0.588919 SUCCESS  59
010100011  252  230  255  272  267  266  273  232  9.567556 0.296698 SUCCESS  60
010100111  260  247  260  264  240  248  255  232  3.550651 0.895223 SUCCESS  61
010101011  250  255  260  253  252  241  237  266  2.666287 0.953525 SUCCESS  62
010101111  229  262  254  244  238  271  236  269  7.360784 0.498253 SUCCESS  63
010110011  260  257  256  231  258  247  236  239  3.870521 0.868612 SUCCESS  64
010110111  241  210  224  238  255  239  238  267 12.731741 0.121419 SUCCESS  65
